Subject,Concept Name,Category,X Score (Innovation),Z Score (Ethics),CS Score (Security),Overall Score,Overall Confidence,Final Verdict,Result File,Error
/home/ubuntu/concept_inputs/AI-Powered_Code_Review_Assistant.json,AI-Powered Code Review Assistant,AI Developer Tools,7.5,8,8.5,8,0.88,APPROVED,/home/ubuntu/result_file/0_KsVlO8M17zLqNPZ0dGstOw_1766313398607_na1fn_L2hvbWUvdWJ1bnR1L3ZhbGlkYXRpb25fcmVzdWx0cy9haS1wb3dlcmVkX2NvZGVfcmV2aWV3X2Fzc2lzdGFudA.txt,
/home/ubuntu/concept_inputs/Natural_Language_to_SQL_Query_Generator.json,Natural Language to SQL Query Generator,AI Developer Tools,7.5,8.2,7.5,7.7,0.87,APPROVED,/home/ubuntu/result_file/1_9YGyPgN46cCwfWhIhbdKJ5_1766313528477_na1fn_L2hvbWUvdWJ1bnR1L3ZhbGlkYXRpb25fcmVzdWx0cy9uYXR1cmFsX2xhbmd1YWdlX3RvX3NxbF9xdWVyeV9nZW5lcmF0b3I.txt,
/home/ubuntu/concept_inputs/AI_Documentation_Generator_from_Code.json,AI Documentation Generator from Code,AI Developer Tools,8,6.5,6,6.8,0.8,VETO,/home/ubuntu/result_file/2_uhZw58WEjVVWbdYZ4wwlO6_1766314100212_na1fn_L2hvbWUvdWJ1bnR1L3ZhbGlkYXRpb25fcmVzdWx0cy9BSV9Eb2N1bWVudGF0aW9uX0dlbmVyYXRvcl9mcm9tX0NvZGU.txt,
/home/ubuntu/concept_inputs/Intelligent_Test_Case_Generator.json,Intelligent Test Case Generator,AI Developer Tools,8.5,7.5,7.5,7.8,0.82,APPROVED,/home/ubuntu/result_file/3_I5j2hmEu1sOlOSmIU3UXEM_1766316738404_na1fn_L2hvbWUvdWJ1bnR1L3ZhbGlkYXRpb25fcmVzdWx0cy9JbnRlbGxpZ2VudF9UZXN0X0Nhc2VfR2VuZXJhdG9y.txt,
/home/ubuntu/concept_inputs/AI-Powered_API_Design_Assistant.json,AI-Powered API Design Assistant,AI Developer Tools,8.5,7.5,7.5,7.8,0.83,APPROVED,/home/ubuntu/result_file/4_SNFyY4eAHea6XFR0Tw8Pen_1766313474761_na1fn_L2hvbWUvdWJ1bnR1L3ZhbGlkYXRpb25fcmVzdWx0cy9haV9wb3dlcmVkX2FwaV9kZXNpZ25fYXNzaXN0YW50.txt,
/home/ubuntu/concept_inputs/AI_Meeting_Notes_&_Action_Items_Extractor.json,AI Meeting Notes & Action Items Extractor,Meeting Productivity Tools,7.5,5,4,5.5,0.8,VETO,/home/ubuntu/result_file/5_0b8JbEC2ASyWkVNdHmsbkr_1766315383265_na1fn_L2hvbWUvdWJ1bnR1L3ZhbGlkYXRpb25fcmVzdWx0cy9haV9tZWV0aW5nX25vdGVzX2FjdGlvbl9pdGVtc19leHRyYWN0b3I.txt,
/home/ubuntu/concept_inputs/Intelligent_Email_Drafting_Assistant.json,Intelligent Email Drafting Assistant,AI for Business,7.5,7.5,8,7.7,0.85,APPROVED,/home/ubuntu/result_file/6_TOqtMlnRRh4zQROlHu40tq_1766313534372_na1fn_L2hvbWUvdWJ1bnR1L3ZhbGlkYXRpb25fcmVzdWx0cy9JbnRlbGxpZ2VudF9FbWFpbF9EcmFmdGluZ19Bc3Npc3RhbnQ.txt,
/home/ubuntu/concept_inputs/AI-Powered_Competitive_Intelligence_Platform.json,AI-Powered Competitive Intelligence Platform,AI for Business,7,5,6.5,6.2,0.82,VETO,/home/ubuntu/result_file/7_NALCmdbb7RCESDyBkwjKjZ_1766313516764_na1fn_L2hvbWUvdWJ1bnR1L3ZhbGlkYXRpb25fcmVzdWx0cy9BSV9Qb3dlcmVkX0NvbXBldGl0aXZlX0ludGVsbGlnZW5jZV9QbGF0Zm9ybQ.txt,
/home/ubuntu/concept_inputs/Smart_Contract_Review_&_Risk_Assessment_Tool.json,Smart Contract Review & Risk Assessment Tool,Blockchain/Fintech,8.5,8,8.5,8.3,0.87,APPROVED,/home/ubuntu/result_file/8_2rXhmoSC0YVZTEjzaD1cnx_1766315871815_na1fn_L2hvbWUvdWJ1bnR1L3ZhbGlkYXRpb25fcmVzdWx0cy9zbWFydF9jb250cmFjdF9yZXZpZXdfcmlza19hc3Nlc3NtZW50X3Rvb2w.txt,
/home/ubuntu/concept_inputs/AI_Sales_Call_Analyzer.json,AI Sales Call Analyzer,AI for Business,6,6.5,6.5,6.3,0.82,CONDITIONAL,/home/ubuntu/result_file/9_Nj2MaTmfwG33XyfPiVX0CV_1766313382309_na1fn_L2hvbWUvdWJ1bnR1L3ZhbGlkYXRpb25fcmVzdWx0cy9haV9zYWxlc19jYWxsX2FuYWx5emVy.txt,
/home/ubuntu/concept_inputs/AI_Storyboard_Generator_for_Video_Production.json,AI Storyboard Generator for Video Production,AI for Creative Work,7.5,7.5,7.5,7.5,0.82,APPROVED,/home/ubuntu/result_file/10_mFHJUKngEVXXiwnUoabyEX_1766313511446_na1fn_L2hvbWUvdWJ1bnR1L3ZhbGlkYXRpb25fcmVzdWx0cy9BSV9TdG9yeWJvYXJkX0dlbmVyYXRvcl9mb3JfVmlkZW9fUHJvZHVjdGlvbg.txt,
/home/ubuntu/concept_inputs/Intelligent_Music_Composition_Assistant.json,Intelligent Music Composition Assistant,AI for Creative Work,7.5,6.5,6.5,6.8,0.8,CONDITIONAL,/home/ubuntu/result_file/11_JSsxqub5FqQFKFbP0hcgJq_1766313612642_na1fn_L2hvbWUvdWJ1bnR1L3ZhbGlkYXRpb25fcmVzdWx0cy9pbnRlbGxpZ2VudF9tdXNpY19jb21wb3NpdGlvbl9hc3Npc3RhbnQ.txt,
/home/ubuntu/concept_inputs/AI-Powered_Content_Repurposing_Tool.json,AI-Powered Content Repurposing Tool,AI for Creative Work,8,5.5,5.5,6.3,0.8,VETO,/home/ubuntu/result_file/12_1f4ssaA6Xjwqih6a2e13Fv_1766314481780_na1fn_L2hvbWUvdWJ1bnR1L3ZhbGlkYXRpb25fcmVzdWx0cy9haV9wb3dlcmVkX2NvbnRlbnRfcmVwdXJwb3NpbmdfdG9vbA.txt,
/home/ubuntu/concept_inputs/AI_Symptom_Checker_&_Triage_Assistant.json,AI Symptom Checker & Triage Assistant,Healthcare & Medical Diagnostics,,,3.5,1.2,0.23,VETO,/home/ubuntu/result_file/13_25pcmPTum2z9vS8XHPcaXP_1766313995876_na1fn_L2hvbWUvdWJ1bnR1L3ZhbGlkYXRpb25fcmVzdWx0cy9haV9zeW1wdG9tX2NoZWNrZXJfdHJpYWdlX2Fzc2lzdGFudA.txt,
/home/ubuntu/concept_inputs/Mental_Health_Journaling_&_Mood_Tracking_App.json,Mental Health Journaling & Mood Tracking App,Health & Wellness,7,8.5,8.5,8,0.9,APPROVED,/home/ubuntu/result_file/14_y4RNcxjtNOsH1REEezu7Vs_1766313522449_na1fn_L2hvbWUvdWJ1bnR1L3ZhbGlkYXRpb25fcmVzdWx0cy9tZW50YWxfaGVhbHRoX2pvdXJuYWxpbmdfX21vb2RfdHJhY2tpbmdfYXBw.txt,
/home/ubuntu/concept_inputs/AI_Medical_Report_Summarizer.json,AI Medical Report Summarizer,AI for Healthcare,8,7.5,8,7.8,0.85,APPROVED,/home/ubuntu/result_file/15_qhfTBbODorpbGTcZjp8oVU_1766313828872_na1fn_L2hvbWUvdWJ1bnR1L3ZhbGlkYXRpb25fcmVzdWx0cy9haV9tZWRpY2FsX3JlcG9ydF9zdW1tYXJpemVy.txt,
/home/ubuntu/concept_inputs/Personalized_Learning_Path_Generator.json,Personalized Learning Path Generator,AI for Education,8,7.5,7.5,7.7,0.83,APPROVED,/home/ubuntu/result_file/16_jMPAzY3kptCRwRMyzRDN4O_1766313425539_na1fn_L2hvbWUvdWJ1bnR1L3ZhbGlkYXRpb25fcmVzdWx0cy9QZXJzb25hbGl6ZWRfTGVhcm5pbmdfUGF0aF9HZW5lcmF0b3I.txt,
/home/ubuntu/concept_inputs/AI_Essay_Feedback_&_Writing_Coach.json,AI Essay Feedback & Writing Coach,Education Technology,7.5,7.5,7,7.3,0.82,APPROVED,/home/ubuntu/result_file/17_qMWlFsNW1HDdYITPstPHpV_1766313648585_na1fn_L2hvbWUvdWJ1bnR1L3ZhbGlkYXRpb25fcmVzdWx0cy9haV9lc3NheV9mZWVkYmFja193cml0aW5nX2NvYWNo.txt,
/home/ubuntu/concept_inputs/Interactive_AI_Tutor_for_STEM_Subjects.json,Interactive AI Tutor for STEM Subjects,AI for Education,7,7.5,7.5,7.3,0.85,APPROVED,/home/ubuntu/result_file/18_5SGv71RCwPHgkJpEo2bJjM_1766314614219_na1fn_L2hvbWUvdWJ1bnR1L3ZhbGlkYXRpb25fcmVzdWx0cy9pbnRlcmFjdGl2ZV9haV90dXRvcl9mb3Jfc3RlbV9zdWJqZWN0cw.txt,
/home/ubuntu/concept_inputs/AI-Powered_Research_Paper_Assistant.json,AI-Powered Research Paper Assistant,AI for Education,7.2,8.2,8,7.8,0.9,APPROVED,/home/ubuntu/result_file/19_Hp4yGcvTdOWSdcWWvnxn05_1766313419287_na1fn_L2hvbWUvdWJ1bnR1L3ZhbGlkYXRpb25fcmVzdWx0cy9BSV9Qb3dlcmVkX1Jlc2VhcmNoX1BhcGVyX0Fzc2lzdGFudA.txt,
